"","gene","log2fc","pval","avg_expr","celltype"
"75","Sh3rf2",5.06632410469037,0,1.41261635957162,"Stem_cells"
"76","Zfp185",4.38582531552204,0,0.906295582583683,"Stem_cells"
"77","4933430M04Rik",4.72821274248154,0,-0.681795467467313,"Thyrotrophs"
"78","Dio2",5.87176241587078,0,3.73897274027533,"Thyrotrophs"
"79","Trhr",6.11114993784724,0,1.4685846006484,"Thyrotrophs"
"80","4930430E12Rik",5.87768094870276,0,-0.886168869476228,"Immune_cells"
"81","AU020206",6.11472001137451,0,1.84889637046873,"Immune_cells"
"82","Abcc3",6.1267073584116,0,0.702981110849697,"Immune_cells"
"83","Abhd12",3.1758174274267,0,5.73363467348204,"Immune_cells"
"84","Acp5",7.21213369291351,0,-0.28124543169557,"Immune_cells"
"85","Acsl1",2.8543095146149,0,4.96276580012581,"Immune_cells"
"86","Adam17",3.1029031586696,0,4.99548901743263,"Immune_cells"
"87","Adgre1",8.82490708567916,0,0.358503605226016,"Immune_cells"
"88","Aif1",8.52546757637429,0,0.559728596503378,"Immune_cells"
"89","Aim2",7.77692968330097,0,0.38993944517407,"Immune_cells"
"90","Alox5ap",5.91624273425321,0,1.43953617371227,"Immune_cells"
"91","Anxa2r1",5.48131965874515,0,-0.967140077228366,"Immune_cells"
"92","Aoah",7.23848133252286,0,0.576724677589959,"Immune_cells"
"93","Apbb1ip",5.92735271711629,0,2.93046044965019,"Immune_cells"
"94","Apobec1",4.86820080331956,0,4.52447159918978,"Immune_cells"
"95","Arhgap15",6.66886873466395,0,3.41060028815267,"Immune_cells"
"96","Arhgap22",7.52038590391771,0,1.38734403917227,"Immune_cells"
"97","Arhgap25",7.66623994708843,0,0.272720611823384,"Immune_cells"
"98","Arhgap30",7.46439499682868,0,-0.077478049977818,"Immune_cells"
"99","Arhgap45",7.44231535038473,0,0.236951590484544,"Immune_cells"
"100","Arhgap9",6.18069998332404,0,-0.34161239168091,"Immune_cells"
"101","Arhgdib",6.15489342783592,0,1.55394185138245,"Immune_cells"
"102","Arl11",6.95202013940874,0,-0.954912965596008,"Immune_cells"
"103","Arl5c",6.61383810344918,0,0.236923359577685,"Immune_cells"
"104","Arrb2",4.50948623316473,0,3.44839833907342,"Immune_cells"
"105","Asb2",6.17537133826641,0,-0.152246331886502,"Immune_cells"
"106","BC035044",6.22204497667785,0,-0.207513582585388,"Immune_cells"
"107","Bach2os",5.65773971509015,0,-0.654450342471282,"Immune_cells"
"108","Batf3",6.23183258025329,0,-0.213353523624354,"Immune_cells"
"109","Bcl2a1a",8.04138023116181,0,-0.697940944476192,"Immune_cells"
"110","Bcl2a1b",9.03655103852668,0,-0.00818271049117516,"Immune_cells"
"111","Bcl2a1d",8.22562052349137,0,-0.407459449062604,"Immune_cells"
"112","Bin2",7.93893246917334,0,-0.369732146638173,"Immune_cells"
"113","Blnk",8.07438595078009,0,0.786367648788612,"Immune_cells"
"114","Btk",6.54922160868958,0,-0.188468233402279,"Immune_cells"
"115","C1qa",9.35835391065512,0,1.91620560391448,"Immune_cells"
"116","C1qb",9.21418350675802,0,1.86261602608077,"Immune_cells"
"117","C1qc",9.55448072955226,0,1.35667321596073,"Immune_cells"
"118","C3ar1",8.8580226442879,0,-0.200412242029058,"Immune_cells"
"119","C5ar1",8.66891002548857,0,-0.225129809600498,"Immune_cells"
"120","C5ar2",5.42362474338591,0,-0.61842645566822,"Immune_cells"
"121","Calhm6",5.93470483252707,0,-0.508741784225854,"Immune_cells"
"122","Card11",6.02884166699226,0,0.370378539725928,"Immune_cells"
"123","Casp1",6.44358920204728,0,-0.450030092202871,"Immune_cells"
"124","Ccdc88b",5.93363548407896,0,-0.501455177003774,"Immune_cells"
"125","Ccl12",9.37520210602405,0,-0.241826122081944,"Immune_cells"
"126","Ccl24",6.15038079010693,0,-1.03088959932416,"Immune_cells"
"127","Ccl3",9.46155907827731,0,0.278502693727846,"Immune_cells"
"128","Ccl4",9.81351046424507,0,0.870602627274443,"Immune_cells"
"129","Ccl6",8.09103340611428,0,-0.632749232702554,"Immune_cells"
"130","Ccl9",7.25440091673564,0,-0.853966266696949,"Immune_cells"
"131","Ccr1",6.51568047268915,0,-1.00781423539971,"Immune_cells"
"132","Ccr2",7.66707649233618,0,-0.791342784327168,"Immune_cells"
"133","Ccr5",8.02913084481992,0,0.52858293381776,"Immune_cells"
"134","Ccrl2",6.14061611507865,0,1.49017337384251,"Immune_cells"
"135","Cd14",8.35918160104017,0,0.691334911313832,"Immune_cells"
"136","Cd200r1",5.68190987545333,0,-0.825361675663573,"Immune_cells"
"137","Cd22",5.71257913670641,0,-0.932337490545048,"Immune_cells"
"138","Cd244a",6.36308267511475,0,-0.660031591419064,"Immune_cells"
"139","Cd300a",8.11908019355626,0,0.292924897327771,"Immune_cells"
"140","Cd300c2",9.16121503668147,0,0.0135599022331351,"Immune_cells"
"141","Cd300lb",5.2333276000826,0,-1.00783141171621,"Immune_cells"
"142","Cd300ld",6.62381140341432,0,-0.96624838404252,"Immune_cells"
"143","Cd300lf",6.98523460968498,0,-0.619430665668443,"Immune_cells"
"144","Cd33",7.942635698841,0,-0.637711119519656,"Immune_cells"
"145","Cd37",7.17127969493017,0,-0.218394580325137,"Immune_cells"
"146","Cd4",6.10188813348748,0,-0.546973033876358,"Immune_cells"
"147","Cd48",8.33951480650518,0,-0.266099518711701,"Immune_cells"
"148","Cd52",8.13143925956854,0,1.49523835755112,"Immune_cells"
"149","Cd53",8.51027708500352,0,0.179848441676853,"Immune_cells"
"150","Cd68",7.39281087368304,0,1.37315386325446,"Immune_cells"
"151","Cd69",6.71163913585149,0,-0.72083089809714,"Immune_cells"
"152","Cd72",7.31435789549723,0,0.722820799170416,"Immune_cells"
"153","Cd74",7.99086436530209,0,4.00002269939242,"Immune_cells"
"154","Cd80",5.64444694425022,0,0.545640847310786,"Immune_cells"
"155","Cd83",8.75123999656044,0,1.04263692372401,"Immune_cells"
"156","Cd84",8.31241816583435,0,-0.0131332196207532,"Immune_cells"
"157","Cd86",9.61012336003571,0,0.48411732276738,"Immune_cells"
"158","Cebpa",6.62154045655286,0,0.306499191890999,"Immune_cells"
